name,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,fa_glofris,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,id
Croatia,20048.9871590995,4255700,0.58964,0.666666666666667,0.558333333333333,0.230522471531655,3,0.2,1.5,0.06,0.8,0.05,20,0.101408200456411,0.3074818837963,1.16108644259942,2.59729055532835,11053289.4163109,1.84607315487621e-08,0.078563335252067,0.0673024433242538,3.5659336789188,15175543.9573748,0.000177861038596175,0.728361991330094,0.000129547220251948,HRV
Czech Republic,28124.4644802821,10514272,0.72992,0.666666666666667,0.9,0.239799831570782,3,0.2,1.5,0.06,0.8,0.05,20,0.0690777073710352,0.4863113926666,1.16985043078228,1.40692436695198,14792785.477561,5.93819593526462e-09,0.0624358072526666,0.122554276634734,1.90546897052445,20034619.0436541,6.77512978730801e-05,0.738361205937007,5.00249300013648e-05,CZE
Denmark,42482.7324552521,5614932,0.87676,0.733333333333333,0.916666666666667,0.230106064027585,3,0.2,1.5,0.06,0.8,0.05,20,0.00607222633540757,0.4458961179811,1.16069307741476,0.0840792862380695,472099.474835296,1.75892750894203e-10,0.000987625835563887,0.00309522437358952,0.104781815791574,588342.770506216,2.46645659861788e-06,0.802422496717511,1.97914026190834e-06,DNK
Djibouti,2902.54624469527,872932,0.77343,0.6,0.25,0.260598620672713,3,0.2,1.5,0.06,0.8,0.05,20,0.00616967609926654,0.101937643657497,1.18949829840179,0.207902754408655,181484.967211456,3.30148259637306e-08,0.0288196980581713,0.00244341024536173,0.351278280785217,306642.052202401,0.000121024180554304,0.591846310406458,7.16277147310298e-05,DJI
Dominican Republic,11795.4705790204,10403761,0.7898,0.6,0.508333333333333,0.377150399088872,3,0.2,1.5,0.06,0.8,0.05,20,0.0348497371041499,0.143410012884762,1.2996005693521,4.24239499558752,44136863.6016886,7.53429873008084e-08,0.783850432903645,0.0517132927693348,6.56695663891815,68321047.3686677,0.000556735451538342,0.646021472175644,0.000359663056015171,DOM
Ecuador,10540.6573666533,15737878,0.63742,0.8,0.458333333333333,0.257473471799671,3,0.2,1.5,0.06,0.8,0.05,20,0.0692559607090218,0.195527607470747,1.18654608272001,3.23428469529773,50900777.9518629,6.66759267058099e-08,1.04933760003298,0.0385837862719512,4.90977237846416,77269398.7000388,0.000465793755330369,0.658744325803034,0.000306838993318367,ECU
"Egypt, Arab Rep.",10733.4887228128,82056378,0.43135,0.666666666666667,0.458333333333333,0.492778341882742,3,0.2,1.5,0.06,0.8,0.05,20,0.200402113488688,0.118450289011949,1.40883012603429,0.21792968286403,17882520.434511,4.99996812498997e-09,0.410279274452128,0.00817803155655398,0.378324169767627,31043911.0809886,3.52470831746944e-05,0.576039545657065,2.03037137776878e-05,EGY
El Salvador,7515.08265637762,6340454,0.66726,0.666666666666667,0.508333333333333,0.134243575307924,3,0.2,1.5,0.06,0.8,0.05,20,0.00899717179647867,0.1951788282528,1.07013523393599,3.02044628563282,19151000.7335258,1.04825042945755e-07,0.664638362845584,0.0723546706381629,4.64678403808847,29462720.4414342,0.000618327735110805,0.650007889515634,0.000401917906128357,SLV
Estonia,25253.7672011471,1317997,0.67538,0,0.4,0.280060391597039,3,0.2,1.5,0.06,0.8,0.05,20,0.0182062093189183,0.395741617417,1.20788313306156,1.74228207118261,2296322.54297246,1.10556899208184e-08,0.0145713661485689,0,3.01851476251721,3978393.4014534,0.000119527306103467,0.577198459592649,6.89909769621804e-05,EST
Finland,38820.8218247281,5438972,0.84221,0.866666666666667,0.891666666666667,0.217990968574325,3,0.2,1.5,0.06,0.8,0.05,20,0.0296522699234525,0.4213605697696,1.14924838270216,0,0,0,0,0,0,0,0,,,FIN
France,37216.8018998205,65939866,0.7952,0.733333333333333,0.95,0.223449179747889,3,0.2,1.5,0.06,0.8,0.05,20,0.0714014429531207,0.43999073406,1.15440455838392,1.53234332540898,101042513.543463,4.4674277223453e-09,0.294581585376134,0.139132313703178,2.18215898326019,143891270.946873,5.86337049898614e-05,0.702214337802112,4.11734283223399e-05,FRA
Gabon,18646.3698144321,1671711,0.87156,0.533333333333333,0.591666666666667,0.329912373595206,3,0.2,1.5,0.06,0.8,0.05,20,0.0939623484489388,0.139940459075143,1.25497650653008,4.04588611277506,6763552.31947331,5.50352828113854e-08,0.0920030876639039,0.202050919535908,9.53479050438873,15939414.1688822,0.000511348353555066,0.424328789490738,0.000216979827872103,GAB
Georgia,6930.29138015289,4487200,0.53641,0.666666666666667,0.616666666666667,0.363265148312499,3,0.2,1.5,0.06,0.8,0.05,20,0.0837157021202831,0.567623199234414,1.28648367260485,1.40512320665479,6305068.85290136,5.24138313150156e-08,0.235191343876738,0.00268221560915173,2.05753681568415,9232579.19933792,0.000296890376294504,0.682915219763671,0.00020275095657288,GEO
Germany,42883.6868079517,80651873,0.75301,0.8,0.916666666666667,0.27301744639675,3,0.2,1.5,0.06,0.8,0.05,20,0.0720767912654576,0.4567786258393,1.20122991617145,1.23520229329975,99621378.4885201,2.64987441470659e-09,0.213717334760866,0.0492833182017402,1.60080126447367,129107620.28057,3.73289095138351e-05,0.771615016000048,2.88035471117822e-05,DEU
Ghana,3864.0307887795,25904598,0.54042,0.8,0.541666666666667,0.40793501657637,3,0.2,1.5,0.06,0.8,0.05,20,0.0259363116882557,0.143973458750709,1.3286816897071,0.256130437024254,6634956.0066776,2.6558658103501e-08,0.687991361590636,0.00534589928001562,0.434044209233181,11243740.7544134,0.000112329386839663,0.590102186772069,6.62858168128509e-05,GHA
Greece,24305.0596068933,11027549,0.78007,0.8,0.466666666666667,0.236791750316336,3,0.2,1.5,0.06,0.8,0.05,20,0.0175975762499055,0.513334475704,1.16700880466711,5.8406989552264,64408593.923008,3.71649587368027e-08,0.40983840355307,0.366563705557105,9.58351527731488,105682684.312838,0.00039430124559731,0.609452668067625,0.000240307946151668,GRC
Guatemala,7062.53067482169,15468203,0.51571,0.466666666666667,0.583333333333333,0.647562772800502,3,0.2,1.5,0.06,0.8,0.05,20,0.0323253317125899,0.122313580372636,1.55504940799964,0.513704779382738,7946089.80956241,5.16416800182855e-08,0.798803989783884,0.0196049899349288,2.08548646778279,32258728.0374172,0.000295288836792974,0.246323717424495,7.27366439928004e-05,GTM
Guinea,1212.88813283302,11745189,0.37161,0.6,0.333333333333333,0.351069489283652,3,0.2,1.5,0.06,0.8,0.05,20,0.0216095511776945,0.0756116009886149,1.27496287238147,0.146004313694663,1714848.2591591,1.04145470933557e-07,1.22320823960863,0.00477630914938096,0.299325445905397,3515633.93466816,0.000246787348150767,0.487777820736324,0.000120377394866278,GIN
Honduras,4445.2710541232,8097688,0.5473,0.333333333333333,0.566666666666667,0.363592694104758,3,0.2,1.5,0.06,0.8,0.05,20,0.0432505266146439,0.149597294784898,1.28679309332805,1.7261117252575,13977514.204277,1.68500235025707e-07,1.36446233116485,0.00848721710570994,3.39792054660644,27515300.4352084,0.000764389956255808,0.507990608250506,0.000388302918818966,HND
Hungary,22706.6118964343,9893899,0.71227,0.866666666666667,0.666666666666667,0.221269411700984,3,0.2,1.5,0.06,0.8,0.05,20,0.0987780461288645,0.578906081025,1.15234540994903,6.80222237032932,67300501.1075789,3.6508980015933e-08,0.361216160870659,0.0983357745700255,8.49944837402081,84092683.7682761,0.000374316010366809,0.800313393410426,0.000299570116464513,HUN
India,5243.95705971261,1252139596,0.32747,0.866666666666667,0.775,0.452530164235535,3,0.2,1.5,0.06,0.8,0.05,20,0.08479572786388,0.131336306857208,1.37080912094292,0.28287541999744,354199514.113925,1.7844414200157e-08,22.3436975874413,0.0175236924806526,0.461067682974595,577321102.288466,8.79236190770532e-05,0.613522548733971,5.39431228700685e-05,IND
Indonesia,9254.42217970391,249865631,0.53742,0.666666666666667,0.608333333333333,0.309976818667278,3,0.2,1.5,0.06,0.8,0.05,20,0.0644947034323651,0.145419042400435,1.23614410517124,0.739560919537721,184790855.823233,1.89519305078744e-08,4.73543607501819,0.0297893482915815,1.14797454167068,286839383.226479,0.000124046052727995,0.644231115492701,7.99143269214225e-05,IDN
"Iran, Islamic Rep.",15090.0472200748,77447168,0.73375,0.6,0.416666666666667,0.317995177479182,3,0.2,1.5,0.06,0.8,0.05,20,0.043684337504803,0.162494018045779,1.24371876019995,1.12252866729224,86936666.2805982,1.63473022180934e-08,1.26605226123145,0.0301070711328915,2.06194382237553,159691709.61808,0.000136642635526843,0.544403128305888,7.43886782407746e-05,IRN
Iraq,14471.473317625,33417476,0.69471,0.2,0.25,0.584092471450896,3,0.2,1.5,0.06,0.8,0.05,20,0.2408688878576,0.100514752412197,1.49509129829548,1.63179591842005,54530500.9406999,2.43471486112904e-08,0.813620254386231,0.00723544037946921,2.88400340382277,96376114.5311657,0.000199288858882827,0.565809290050452,0.000112759487759457,IRQ
Ireland,44647.2359111421,4597558,0.63241,0,0.35,0.311250549274513,3,0.2,1.5,0.06,0.8,0.05,20,0.0355579208717587,0.5586647622964,1.23734735264066,0.994769175475513,4573508.98086085,2.08959489747287e-09,0.00960703373763559,0,1.3415108769229,6167674.06428388,3.00468965109688e-05,0.741528967515548,2.22806441468252e-05,IRL
Israel,30926.8490945208,8059500,0.9214,0,0.4,0.358478281361594,3,0.2,1.5,0.06,0.8,0.05,20,0.00880738850190295,0.206761666867916,1.28196169165189,0.819678282682313,6606197.1192781,3.58350223360981e-09,0.0288812362517783,0,1.326101834344,10687717.7338955,4.28786595844625e-05,0.618111114436241,2.65037760612843e-05,ISR
Italy,33923.5598171182,60233948,0.68964,0.866666666666667,0.716666666666667,0.204611968717929,3,0.2,1.5,0.06,0.8,0.05,20,0.0476646850618796,0.4324526098865,1.13660972298155,3.13130528771332,188610879.872249,1.10149554677169e-08,0.663474254864775,0.20558516060051,4.68210942330461,282021935.53364,0.000138019401517584,0.668780885839114,9.23047376099142e-05,ITA
Jamaica,8607.49856276618,2714734,0.54788,0.6,0.408333333333333,0.381009113472681,3,0.2,1.5,0.06,0.8,0.05,20,0.000596341034156868,0.184768091083279,1.30324575797453,4.37434137639105,11875173.2620956,1.43570590654699e-07,0.389755963850394,0.0712165218879911,7.80098279029818,21177593.2142374,0.000906300794988595,0.560742344135314,0.000508201232273604,JAM
Japan,35614.3100226829,127338621,0.93498,0.8,0.816666666666667,0.210442533555454,3,0.2,1.5,0.06,0.8,0.05,20,0.0732031927462073,0.265406008217888,1.1421176477705,3.30549375631303,420917016.653011,9.34087601153345e-09,1.18945427024065,0.102520579410573,4.27298788469843,544116384.787205,0.000119979521770236,0.773579014382418,9.28136401970933e-05,JPN
Jordan,11404.7388595369,6460000,0.83679,0.466666666666667,0.425,0.17572272222131,3,0.2,1.5,0.06,0.8,0.05,20,0.00398806254325774,0.217921391063937,1.10931909139665,0.592208042399225,3825663.95389899,9.82763460179448e-09,0.0634865195275923,0.00952959083436752,0.814421410075904,5261162.30909034,7.14107898573115e-05,0.727151859065236,5.1926488602061e-05,JOR
Kazakhstan,22469.6790194365,17035275,0.53247,0.6,0.775,0.330570755355769,3,0.2,1.5,0.06,0.8,0.05,20,0.0531695219117724,0.265247958659118,1.25559845608739,1.2887652343584,21954470.1777348,9.01619238841799e-09,0.153593316789607,0.0974806108210292,2.06642853337303,35202178.3338562,9.19652003744934e-05,0.623667943770962,5.73557474160448e-05,KAZ
Kenya,2705.32321813981,44353691,0.25622,0.8,0.508333333333333,0.46296027315172,3,0.2,1.5,0.06,0.8,0.05,20,0.0188168284485113,0.102102645772465,1.38066206950824,0.1378220511846,6112916.67122794,3.11618058363329e-08,1.38214110706671,0.00448736357186417,0.298348810886075,13232870.9682584,0.000110282131497478,0.461949389961631,5.09447633689282e-05,KEN
Kyrgyz Republic,3109.81282884131,5719600,0.35707,0.6,0.483333333333333,0.52022566664102,3,0.2,1.5,0.06,0.8,0.05,20,0.0522631314943183,0.483404503033677,1.43475862604058,0.523557526896675,2994539.63083822,8.19605865017442e-08,0.468781770555376,0.0205683245478486,0.967112078047324,5531494.24159948,0.000310987230188918,0.541361791234972,0.000168356603986275,KGZ
Lao PDR,4667.34005886512,6769727,0.38614,0.4,0.166666666666667,0.247298886072843,3,0.2,1.5,0.06,0.8,0.05,20,0.18583389611431,0.149190916672771,1.17693451771667,3.36269691021216,22764540.0658799,2.33093995075663e-07,1.57798271200158,0.0231299324955979,5.05714437501231,34235486.818419,0.00108351744488958,0.664939867413608,0.000720473946145209,LAO
Latvia,21832.5707415661,2012647,0.67382,0,0.35,0.239369908080608,3,0.2,1.5,0.06,0.8,0.05,20,0.0581330498586686,0.2706915442128,1.16944429753193,3.80171246751651,7651505.19260969,2.94340074138843e-08,0.0592402667195321,0,6.46156396886132,13004847.3372368,0.000295959832002716,0.588357940250564,0.000174130317154021,LVA
Lesotho,2493.61373413973,2074465,0.27312,0.4,0.166666666666667,0.199212095658208,3,0.2,1.5,0.06,0.8,0.05,20,0.0229051235274442,0.0929640347432856,1.13150865721664,0.519392675867221,1077461.92734289,1.0219574048678e-07,0.212001486788909,0.000805359571559122,0.865861534710029,1796199.44860224,0.000347231619258282,0.599856507127507,0.000208289146292501,LSO
Liberia,849.830924236094,4294077,0.49701,0,0,0.472512071273252,3,0.2,1.5,0.06,0.8,0.05,20,0.0637109682949236,0.13960573670102,1.38968530947189,0.0922190097962421,395995.528928818,7.91718774162152e-08,0.339970137859789,0,0.133457263294372,573075.764795306,0.000157039782253553,0.691000306164163,0.000108514537617158,LBR
Lithuania,24469.6225008436,2957689,0.66508,0,0.35,0.312964424494681,3,0.2,1.5,0.06,0.8,0.05,20,0.0802232838874312,0.374249463653,1.2389663888873,2.1457196118232,6346371.29297374,1.17793812557641e-08,0.0348397463669796,0,3.06822539237213,9074856.49253974,0.000125389159242908,0.699335719324153,8.76891178745901e-05,LTU
"Macedonia, FYR",11608.9689707937,2107158,0.57104,0.666666666666667,0.333333333333333,0.263932166583175,3,0.2,1.5,0.06,0.8,0.05,20,0.120601264468357,0.276049315545064,1.19264737926565,0.715507751011261,1507687.88160539,1.3710648122375e-08,0.0288905018762474,0.0103057994909092,1.16680403958685,2458640.46644774,0.000100508842992202,0.613220152429894,6.16340480202302e-05,MKD
Madagascar,1368.63241207592,22924851,0.35105,0.6,0.25,0.294072983842621,3,0.2,1.5,0.06,0.8,0.05,20,0.050636479633979,0.105366181126918,1.22112032471239,0.827141784708655,18962102.17032,3.82732797570062e-07,8.77409235710683,0.00925397051765211,1.31855565293346,30227691.8787072,0.000963411096580339,0.627308967102352,0.000604356419890757,MDG
Malawi,754.981975267971,16362567,0.16272,0.8,0.333333333333333,0.253076569219416,3,0.2,1.5,0.06,0.8,0.05,20,0.0228307784233105,0.0493367570398136,1.18239248707512,0.230453083234162,3770804.01477555,2.87742102513737e-07,4.70819943110189,0.00451527535750771,0.406145175044636,6645577.63839459,0.000537953472201082,0.567415538566559,0.000305243159152727,MWI
Malaysia,22589.3714474966,29716965,0.74705,0.8,0.766666666666667,0.250594074561213,3,0.2,1.5,0.06,0.8,0.05,20,0.108120634795289,0.103758126452764,1.18004736370417,2.00312273973407,59526728.3473816,1.54112138527977e-08,0.457974502671105,0.0835788945717303,3.55927881870702,105770964.080758,0.000157564314127982,0.56278893611986,8.86754527185422e-05,MYS
Mali,1589.1673480781,15301650,0.39916,0.6,0.333333333333333,0.643844865958912,3,0.2,1.5,0.06,0.8,0.05,20,0.0911249702945771,0.0562178872045217,1.55153723519539,0.109580496370325,1676762.40228498,6.37363694684006e-08,0.975271617876152,0.00426928021159765,0.274734963426337,4203898.25311261,0.00017287981895588,0.398858940280842,6.89546613846859e-05,MLI
Mauritania,2945.22956949672,3889880,0.59859,0.666666666666667,0.333333333333333,0.238105970858006,3,0.2,1.5,0.06,0.8,0.05,20,0.0693921652018413,0.0947903633797946,1.16825030152056,0.550968168745081,2143200.06023812,1.49778465917599e-07,0.58262025900355,0.0311385785464843,1.62891595922441,6336287.61146784,0.000553069267025849,0.338242231359449,0.000187071382975158,MRT
Mexico,16290.8128214269,122332399,0.79246,0.533333333333333,0.766666666666667,0.368263044976773,3,0.2,1.5,0.06,0.8,0.05,20,0.0611030385874219,0.277367829897964,1.29120500573412,0.415738630481516,50858304.0237783,5.18421055647345e-09,0.634196914294522,0.00941974002805234,0.733394337375342,89717888.704141,4.50188916547324e-05,0.566869157961259,2.55198212046673e-05,MEX
