country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,fa_glofris,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.94072581355,2897366.0,0.57407,0.0,0.175,0.1852799860314327,3,0.2,1.5,0.06,0.8,0.05,20,0.07367993943126039,0.1958497991597081,1.118347494599629,2.1345655088916127,6184617.530235256,4.52597046441827e-08,0.13113392940609703,0.0,3.0614537243983166,8870151.931645053,0.0003073458429949923,0.697239187997568,0.0002142935660042565
Angola,7488.011759834088,21471618.0,0.4405,0.0,0.175,0.43239739052511456,3,0.2,1.5,0.06,0.8,0.05,20,0.017032878672476978,0.1256680312276769,1.351790414097182,0.27873933076542645,5984984.431770884,2.0206689094582234e-08,0.43387030928363557,0.0,0.8908745714806854,19128518.48474697,0.00011897344716515571,0.3128828004397358,3.722474532700287e-05
Argentina,18087.196261682242,41446246.0,0.91751,0.7333333333333333,0.375,0.2695495148851759,3,0.2,1.5,0.06,0.8,0.05,20,0.07205781664084926,0.15106190614207007,1.1979538860660952,1.3725485835535376,56886986.24091147,1.498089428149841e-08,0.6209018296909763,0.024033351639621107,2.4795277436175316,102767116.82579714,0.00013708745721250428,0.5535524202488028,7.588509372573594e-05
Armenia,7526.836419112871,2976566.0,0.62673,0.4,0.425,0.3666957212217474,3,0.2,1.5,0.06,0.8,0.05,20,0.03800051942626459,0.2696173557551283,1.289724411382942,1.1320379792774358,3369585.75982592,3.637124334626826e-08,0.10826140632222833,0.012216023642898713,1.6160370755846032,4810241.01392456,0.00021470336082779818,0.7005024800361834,0.00015040023673197617
Australia,42834.0167597384,23129300.0,0.8942299999999999,0.8,0.9166666666666669,0.27360239086009513,3,0.2,1.5,0.06,0.8,0.05,20,0.04109036778223482,0.22516027695600005,1.201782492156731,1.9652463164652683,45454771.627420135,4.599924263901086e-09,0.1063930282770474,0.06272907378592847,2.7732553147038064,64143454.15037875,6.474422724021794e-05,0.7086424052071685,4.588050491478751e-05
Austria,44056.25441680201,8479823.0,0.65968,0.8,0.8916666666666666,0.2322785182072901,3,0.2,1.5,0.06,0.8,0.05,20,0.07921920515759366,0.473076769832,1.1627453167024924,3.0744221282769857,26070555.475072134,6.7605545691556695e-09,0.05732830612828133,0.29825301944552796,4.252350703696561,36059181.30127229,9.652093124999786e-05,0.7229935493336418,6.978401066942438e-05
Azerbaijan,16593.188760048204,9416801.0,0.5462,0.0,0.25,0.5982212831852317,3,0.2,1.5,0.06,0.8,0.05,20,0.05712771561032616,0.428208034056247,1.5084382783151649,0.7038024387625209,6627567.5091413455,7.874281625021504e-09,0.07415054308078413,0.0,1.1452482413130047,10784574.784044545,6.901917755979759e-05,0.6145413835830258,4.2415140871360536e-05
Bangladesh,2853.447740155661,156594962.0,0.34276999999999996,0.7333333333333333,0.6166666666666667,0.2897089076246591,3,0.2,1.5,0.06,0.8,0.05,20,0.22001199985389425,0.0734057697595131,1.2169977389506987,1.6845122350294472,263786129.43297136,2.512599889961954e-07,39.34604842897964,0.0871874598848109,2.605843228629876,408061921.36525273,0.0009132261971924961,0.6464365225513375,0.0005903427672158992
Belarus,17054.558334452504,9466000.0,0.76667,0.7333333333333333,0.5166666666666667,0.3864445367538237,3,0.2,1.5,0.06,0.8,0.05,20,0.03563503796859986,0.33536386098589716,1.308380406754342,1.6837170920160442,15938065.993023876,1.784730964819516e-08,0.1689426331298154,0.09215663007662721,2.7049347831458044,25604912.657258183,0.00015860479820702667,0.6224612521185826,9.872534128396095e-05
Belgium,40608.97200934282,11182817.0,0.97858,0.0,0.425,0.2166915174374668,3,0.2,1.5,0.06,0.8,0.05,20,0.10099202257790048,0.46519935741750007,1.1480208379739567,0.7973760792492931,8916910.774422342,1.8640675928216293e-09,0.020845526766154792,0.0,1.038344355773025,11611614.913592631,2.556933368158483e-05,0.7679302871114119,1.9635465755346933e-05
Benin,1733.3093993643502,10323474.0,0.4395,0.6666666666666667,0.25,0.3302533219458435,3,0.2,1.5,0.06,0.8,0.05,20,0.043864808492979766,0.08292798928509816,1.255298588167888,0.15161338443692227,1565176.8322865714,6.225530136902833e-08,0.6426909850453283,0.002820783476902055,0.3056768845504829,3155647.370057912,0.00017635448389224833,0.4959923111617658,8.747046804945664e-05
Bolivia,5934.38797771874,10671200.0,0.68512,0.5333333333333333,0.45,0.4218342004210295,3,0.2,1.5,0.06,0.8,0.05,20,0.04648689477305887,0.25299094871638006,1.3418117485225833,0.6044168791082062,6449853.40033949,3.822307354679604e-08,0.40788606243256986,0.005487735307117467,1.1889451240273905,12687471.20752109,0.0002003483979293914,0.5083639832432517,0.00010184990960778946
Bosnia and Herzegovina,9387.350031380154,3829307.0,0.39767,0.0,0.125,0.32393223235700314,3,0.2,1.5,0.06,0.8,0.05,20,0.13678412833995238,0.14001290809823436,1.2493272822979196,1.3366114565485105,5118295.606841407,3.567597936793651e-08,0.13661427752549488,0.0,2.207919848667258,8454802.931940472,0.00023520161081525622,0.6053713667891134,0.00014238432061023276
